,time,data
10,1162347.4285566502,"[-0.00908380001783371, -0.013073939830064774, 0.04557488113641739, -0.025042790919542313, -0.01851087063550949, -0.011395090259611607, 0.03837579861283302, -0.02416623942553997, -0.012498140335083008, -0.022730570286512375, 0.003202209947630763, -0.01899936981499195, -0.010795420035719872, -0.019672760739922523, 0.048428699374198914, 0.0062492298893630505, -0.008002519607543945, 0.03324617072939873, -0.02001377008855343, -0.02962671034038067, -0.014033890329301357, -0.010768740437924862, -0.016306739300489426, -0.02912159077823162, -0.028825819492340088, -0.025061190128326416, 0.06680916994810104, -0.0155104398727417, -0.007672769948840141, -0.027569489553570747, 0.07728651165962219, 0.03007926046848297, -0.005359400063753128, -0.008037774823606014, -0.008101549930870533, -0.005144800059497356, -0.006505425088107586, -0.00656609982252121, -0.006463025230914354, -0.010457949712872505, -0.004550999961793423, -0.007606024853885174, -0.008124349638819695, -0.0050991252064704895, -0.006741850171238184, -0.0065199751406908035, -0.006600525230169296, -0.010279550217092037, -0.003449349896982312, -0.007965249940752983, -0.007962125353515148, -0.005456625018268824, -0.006459425203502178, -0.006547600030899048, -0.006388950161635876, -0.010299124754965305, 0.0, 2334126.0]"
11,1162347.4305097752,"[-0.011161659844219685, -0.01398606039583683, 0.04484992101788521, -0.025668470188975334, -0.018925119191408157, -0.012900060042738914, 0.037681709975004196, -0.02495129033923149, -0.012892520055174828, -0.023297209292650223, 0.0018631400307640433, -0.019957639276981354, -0.011567509733140469, -0.020587090402841568, 0.04781851917505264, 0.005197499878704548, -0.009456990286707878, 0.032266080379486084, -0.021132729947566986, -0.030068950727581978, -0.0146045396104455, -0.011902290396392345, -0.017903979867696762, -0.029575100168585777, -0.029880080372095108, -0.026138409972190857, 0.06628347933292389, -0.015942389145493507, -0.008583939634263515, -0.028107350692152977, 0.07680092751979828, 0.029297230765223503, -0.005343849770724773, -0.008030175231397152, -0.008094100281596184, -0.0051299999468028545, -0.006499149836599827, -0.006561699789017439, -0.0064559499733150005, -0.01044744998216629, -0.004542075097560883, -0.0075975749641656876, -0.008115924894809723, -0.0050991252064704895, -0.00673752510920167, -0.00651152478531003, -0.006595124956220388, -0.010271525010466576, -0.003443900030106306, -0.00796009972691536, -0.007955700159072876, -0.0054575251415371895, -0.006455049850046635, -0.006541525013744831, -0.006384000182151794, -0.010287200100719929, 0.0, 2334127.0]"
12,1162347.4324629002,"[-0.0177833903580904, -0.015009160153567791, 0.04239334166049957, -0.026318520307540894, -0.01926684007048607, -0.015011980198323727, 0.035590268671512604, -0.025794049724936485, -0.013183520175516605, -0.023813849315047264, -0.0022547899279743433, -0.020975729450583458, -0.012265699915587902, -0.021512970328330994, 0.04592062905430794, 0.001184329972602427, -0.011076989583671093, 0.029891470447182655, -0.022277189418673515, -0.03044118918478489, -0.01510968990623951, -0.013076979666948318, -0.020141439512372017, -0.0299699604511261, -0.031418491154909134, -0.027499470859766006, 0.06438138335943222, -0.016323160380125046, -0.011385289952158928, -0.028703810647130013, 0.07517062872648239, 0.026812680065631866, -0.005351624917238951, -0.008037650026381016, -0.008099724538624287, -0.005123774986714125, -0.0065058497712016106, -0.00656779995188117, -0.006463924888521433, -0.010452300310134888, -0.004549350123852491, -0.007607374805957079, -0.008123975247144699, -0.005098850000649691, -0.006745174992829561, -0.00651950016617775, -0.006602175068110228, -0.010277524590492249, -0.0034184250980615616, -0.007968724705278873, -0.007960399612784386, -0.005451225209981203, -0.006461650133132935, -0.0065500750206410885, -0.006391275208443403, -0.010291725397109985, 0.0, 2334128.0]"
13,1162347.4344160252,"[-0.020798489451408386, -0.015476049855351448, 0.03975018113851547, -0.026570040732622147, -0.01931636966764927, -0.01597312092781067, 0.03343525901436806, -0.026132090017199516, -0.013184360228478909, -0.023966079577803612, -0.006208190228790045, -0.021375620737671852, -0.012485099956393242, -0.021846620365977287, 0.04390297830104828, -0.0032959699165076017, -0.011754839681088924, 0.027581190690398216, -0.022696390748023987, -0.03050966002047062, -0.015238369815051556, -0.013536520302295685, -0.021199960261583328, -0.03004992939531803, -0.03218561038374901, -0.028119860216975212, 0.06226890906691551, -0.016414610669016838, -0.014328699558973312, -0.028956670314073563, 0.07341419905424118, 0.024067439138889313, -0.005363100208342075, -0.008047649636864662, -0.008111074566841125, -0.005123625043779612, -0.006515849847346544, -0.0065750498324632645, -0.006468600127846003, -0.010459549725055695, -0.004553025122731924, -0.007617325056344271, -0.008133924566209316, -0.0051038251258432865, -0.0067543750628829, -0.006528649944812059, -0.006607674993574619, -0.010285849682986736, -0.00341670005582273, -0.007971424609422684, -0.007967525161802769, -0.005444900132715702, -0.006466549821197987, -0.006555649917572737, -0.006398824974894524, -0.010300825349986553, 0.0, 2334129.0]"
14,1162347.4363691502,"[-0.02198719047009945, -0.015425669960677624, 0.03808483108878136, -0.026434440165758133, -0.01909583993256092, -0.016062909737229347, 0.032154280692338943, -0.02601662091910839, -0.012941090390086174, -0.02377277985215187, -0.007916989736258984, -0.02126796916127205, -0.012289660051465034, -0.0216953307390213, 0.042701538652181625, -0.006219909992069006, -0.011744439601898193, 0.026384970173239708, -0.022548630833625793, -0.030298560857772827, -0.015038009732961655, -0.013428970240056515, -0.021277600899338722, -0.029846200719475746, -0.03223644942045212, -0.02810255065560341, 0.060900911688804626, -0.016231710091233253, -0.016118189319968224, -0.02886785939335823, 0.07228735834360123, 0.022368809208273888, -0.005381799768656492, -0.008063849993050098, -0.00812662485986948, -0.0051300497725605965, -0.006528299767524004, -0.006588025018572807, -0.006479400210082531, -0.010477250441908836, -0.004562550224363804, -0.007628574967384338, -0.00814882479608059, -0.00510529987514019, -0.0067675248719751835, -0.006539899855852127, -0.006616725120693445, -0.010302649810910225, -0.003445124952122569, -0.007983525283634663, -0.007980150170624256, -0.005451525095850229, -0.006473800167441368, -0.0065623498521745205, -0.006409875117242336, -0.010318400338292122, 0.0, 2334130.0]"
15,1162347.4383222752,"[-0.021832389757037163, -0.014963739551603794, 0.03835001960396767, -0.026014039292931557, -0.018721340224146843, -0.015560179948806763, 0.03247125819325447, -0.025574330240488052, -0.012577449902892113, -0.0233394093811512, -0.007394540123641491, -0.02079598978161812, -0.011808950453996658, -0.021212339401245117, 0.04302674159407616, -0.005952800158411264, -0.011223560199141502, 0.027053410187363625, -0.021988270804286003, -0.029901130124926567, -0.014621290378272533, -0.012905419804155827, -0.020680440589785576, -0.029470840469002724, -0.03178621083498001, -0.027625789865851402, 0.06106612831354141, -0.01588415913283825, -0.01574479043483734, -0.028522970154881477, 0.07245443761348724, 0.022787010297179222, -0.005393099971115589, -0.008069650270044804, -0.008134099654853344, -0.00514395022764802, -0.006529599893838167, -0.006588675081729889, -0.006484400015324354, -0.010481175035238266, -0.0045721749775111675, -0.007629650179296732, -0.00815267488360405, -0.0051148999482393265, -0.006770600099116564, -0.006540175061672926, -0.00661752512678504, -0.01030722539871931, -0.003453100100159645, -0.007984350435435772, -0.007984025403857231, -0.005464524962007999, -0.0064751747995615005, -0.00656317500397563, -0.006411974783986807, -0.010328199714422226, 0.0, 2334131.0]"
16,1162347.4402754002,"[-0.02044728957116604, -0.014253560453653336, 0.04040047898888588, -0.02549286000430584, -0.0183964092284441, -0.01452327985316515, 0.03418692946434021, -0.024962959811091423, -0.01228296011686325, -0.02287966012954712, -0.004753299988806248, -0.02010101079940796, -0.011230089701712132, -0.02053840085864067, 0.04465477913618088, -0.0026976100634783506, -0.010281560011208057, 0.029128169640898705, -0.02116377092897892, -0.02953346073627472, -0.014181469567120075, -0.012099660001695156, -0.01945595070719719, -0.029118120670318604, -0.030943619087338448, -0.02679486945271492, 0.06263968348503113, -0.01555074006319046, -0.013484549708664417, -0.028079219162464142, 0.0738014280796051, 0.024952609091997147, -0.005397850181907415, -0.008071299642324448, -0.008134149946272373, -0.005148500204086304, -0.006524649914354086, -0.006586099974811077, -0.006483525037765503, -0.010484550148248672, -0.004585050046443939, -0.007630324922502041, -0.008152425289154053, -0.005120375193655491, -0.006768775172531605, -0.006542524788528681, -0.006616824772208929, -0.010311375372111797, -0.0034376750700175762, -0.007984899915754795, -0.007983899675309658, -0.005473650060594082, -0.006476900074630976, -0.006565975025296211, -0.0064095500856637955, -0.010334724560379982, 0.0, 2334132.0]"
17,1162347.4422285252,"[-0.01780829019844532, -0.013503139838576317, 0.043099209666252136, -0.02507660910487175, -0.018279509618878365, -0.012940140441060066, 0.03637966886162758, -0.02437286078929901, -0.01220661960542202, -0.022588899359107018, -0.0007271899958141148, -0.01934690959751606, -0.01075900997966528, -0.01986777037382126, 0.04673529043793678, 0.00178338005207479, -0.0089724101126194, 0.0314808115363121, -0.020262960344552994, -0.029376810416579247, -0.013883380219340324, -0.011166219599545002, -0.01772231049835682, -0.02894362062215805, -0.029771320521831512, -0.025721009820699692, 0.06476257741451263, -0.015374929644167423, -0.010486509650945663, -0.027668990194797516, 0.07562404870986938, 0.027589159086346626, -0.005384774878621101, -0.008055725134909153, -0.008117799647152424, -0.005141850095242262, -0.006512925028800964, -0.006574274972081184, -0.006470500025898218, -0.010471724905073643, -0.004568025004118681, -0.007620574906468391, -0.008139674551784992, -0.005107374861836433, -0.006755524780601263, -0.006531774997711182, -0.006607174873352051, -0.01029715035110712, -0.0034394250251352787, -0.007974275387823582, -0.00797247514128685, -0.0054731001146137714, -0.0064674001187086105, -0.006554299965500832, -0.0063959751278162, -0.010320425033569336, 0.0, 2334133.0]"
18,1162347.4441816502,"[-0.012041649781167507, -0.013046680018305779, 0.04516658931970596, -0.02496556006371975, -0.018411099910736084, -0.011439410038292408, 0.0380101315677166, -0.024099599570035934, -0.012379909865558147, -0.022609960287809372, 0.002546069910749793, -0.01890607923269272, -0.010669110342860222, -0.019573049619793892, 0.04830333963036537, 0.0053726001642644405, -0.007882960140705109, 0.03308701887726784, -0.019779089838266373, -0.029489900916814804, -0.013887190259993076, -0.010598880238831043, -0.016388269141316414, -0.02902412973344326, -0.028810270130634308, -0.02494020015001297, 0.06642860919237137, -0.015436519868671894, -0.008174450136721134, -0.027469510212540627, 0.07706364244222641, 0.029543370008468628, -0.005363225005567074, -0.008045574650168419, -0.008104125037789345, -0.005134449806064367, -0.006506574805825949, -0.006570649798959494, -0.006464350037276745, -0.010462850332260132, -0.0045599001459777355, -0.007610649801790714, -0.008131424896419048, -0.005103900097310543, -0.0067472998052835464, -0.006523274816572666, -0.006601099856197834, -0.010285275056958199, -0.0034366000909358263, -0.007967974990606308, -0.007963599637150764, -0.005453925114125013, -0.006458950228989124, -0.006550400052219629, -0.006390225142240524, -0.010310624726116657, 0.0, 2334134.0]"
19,1162347.4461347752,"[-0.009065479971468449, -0.013528790324926376, 0.04554282873868942, -0.02537607029080391, -0.01877566985785961, -0.01179409958422184, 0.038224030286073685, -0.024580219760537148, -0.012745600193738937, -0.023048730567097664, 0.0030102699529379606, -0.019439920783042908, -0.01120113953948021, -0.020137080922722816, 0.04854832962155342, 0.0061885397881269455, -0.008482569828629494, 0.03312082961201668, -0.020446350798010826, -0.029872339218854904, -0.01433878019452095, -0.011218469589948654, -0.016952890902757645, -0.029399389401078224, -0.029113179072737694, -0.025384459644556046, 0.06675512343645096, -0.01576963998377323, -0.007804139982908964, -0.02778461016714573, 0.07734213769435883, 0.029817409813404083, -0.005336575210094452, -0.008032049983739853, -0.008094649761915207, -0.005118200089782476, -0.006501025054603815, -0.006560950074344873, -0.006456099916249514, -0.01044942531734705, -0.0045592752285301685, -0.007603050209581852, -0.008123325183987617, -0.005109449848532677, -0.006737549789249897, -0.006515849847346544, -0.006592724937945604, -0.010272525250911713, -0.003424274967983365, -0.00795817468315363, -0.007954499684274197, -0.005458274856209755, -0.0064547001384198666, -0.0065413000993430614, -0.006384875159710646, -0.010294999927282333, 0.0, 2334135.0]"
20,1162347.4480879002,"[-0.014722519554197788, -0.014599169604480267, 0.043906599283218384, -0.02606382966041565, -0.019181469455361366, -0.013924160040915012, 0.03679478168487549, -0.025481829419732094, -0.013122620061039925, -0.023644229397177696, 0.0001682900037849322, -0.02055441029369831, -0.012009999714791775, -0.021168429404497147, 0.04724507033824921, 0.003618170041590929, -0.01030081044882536, 0.03140357881784439, -0.021777009591460228, -0.03032531961798668, -0.014952190220355988, -0.012537050060927868, -0.019136890769004822, -0.029866090044379234, -0.030591659247875214, -0.026815030723810196, 0.06548041850328445, -0.0162021704018116, -0.00972811970859766, -0.028439190238714218, 0.0762375071644783, 0.028077419847249985, -0.005325174890458584, -0.00802992470562458, -0.008094524964690208, -0.0051200250163674355, -0.0065042502246797085, -0.006565149873495102, -0.006458600051701069, -0.010449499823153019, -0.004550174809992313, -0.007606649771332741, -0.008124950341880322, -0.005104974843561649, -0.006742300000041723, -0.0065218000672757626, -0.0065956502221524715, -0.010275974869728088, -0.0034076750744134188, -0.00796119961887598, -0.007958400063216686, -0.005458175204694271, -0.006461150012910366, -0.006544025149196386, -0.00638920022174716, -0.010293399915099144, 0.0, 2334136.0]"
21,1162347.4500410252,"[-0.019690759479999542, -0.015372239984571934, 0.0411299392580986, -0.026535620912909508, -0.019380340352654457, -0.015614739619195461, 0.03450429067015648, -0.026099709793925285, -0.01327843964099884, -0.0239962600171566, -0.004294020123779774, -0.021297229453921318, -0.012498860247433186, -0.02181681990623474, 0.045122358947992325, -0.0008837599889375269, -0.011532370001077652, 0.02889459952712059, -0.022620510309934616, -0.03056447021663189, -0.015297849662601948, -0.013417160138487816, -0.020883020013570786, -0.030119679868221283, -0.03188632056117058, -0.027933409437537193, 0.06331883370876312, -0.016449840739369392, -0.012803830206394196, -0.028915170580148697, 0.07438436895608902, 0.025244129821658134, -0.005341299809515476, -0.00803772546350956, -0.008100274950265884, -0.005132074933499098, -0.006510724779218435, -0.006568924989551306, -0.006462850142270327, -0.010451650246977806, -0.004554950166493654, -0.00761099997907877, -0.008130624890327454, -0.005108300130814314, -0.006748325191438198, -0.0065265498124063015, -0.00660122511908412, -0.01028092484921217, -0.0034036249853670597, -0.007965950295329094, -0.007963050156831741, -0.00545400008559227, -0.006463100202381611, -0.006547700148075819, -0.006393675226718187, -0.0102956248447299, 0.0, 2334137.0]"
22,1162347.4519941502,"[-0.021548109129071236, -0.015560779720544815, 0.03880070149898529, -0.02659009024500847, -0.01928439922630787, -0.016101090237498283, 0.032675039023160934, -0.02620374970138073, -0.013149170204997063, -0.023966070264577866, -0.007317900191992521, -0.021424779668450356, -0.012501809746026993, -0.021882010623812675, 0.043375540524721146, -0.004786659963428974, -0.011847569607198238, 0.026965459808707237, -0.02274039015173912, -0.030490929260849953, -0.015260789543390274, -0.013573889620602131, -0.021376339718699455, -0.030051009729504585, -0.032279569655656815, -0.028230059891939163, 0.06147995963692665, -0.01640434004366398, -0.015321159735321999, -0.029000379145145416, 0.07285235822200775, 0.02288202941417694, -0.005372149869799614, -0.008055600337684155, -0.008115924894809723, -0.005130825098603964, -0.006525749806314707, -0.006580050103366375, -0.006472975015640259, -0.010469550266861916, -0.004560775123536587, -0.00762437516823411, -0.008144775405526161, -0.00511074997484684, -0.006757049821317196, -0.006538399960845709, -0.0066112251952290535, -0.010296249762177467, -0.003393925027921796, -0.007976599968969822, -0.007975825108587742, -0.0054609752260148525, -0.006474425084888935, -0.006560824811458588, -0.00640572514384985, -0.010314024984836578, 0.0, 2334138.0]"
